Date,Open,High,Low,Close*,Adj Close**,Volume
"Jul 30, 2021",35013.26,35106.3,34871.13,34935.47,34935.47,276410000
"Jul 29, 2021",34985.99,35171.52,34985.99,35084.53,35084.53,222680000
"Jul 28, 2021",35109.95,35116.37,34876.84,34930.93,34930.93,347170000
"Jul 27, 2021",35078.9,35078.9,34878.07,35058.52,35058.52,326610000
"Jul 26, 2021",35055.86,35150.37,34950.19,35144.31,35144.31,259790000
"Jul 23, 2021",34855.11,35095.33,34855.11,35061.55,35061.55,314040000
"Jul 22, 2021",34799.68,34879.28,34673.03,34823.35,34823.35,291610000
"Jul 21, 2021",34556.96,34820.24,34556.96,34798.0,34798.0,317090000
"Jul 20, 2021",33981.79,34621.79,33981.79,34511.99,34511.99,387020000
"Jul 19, 2021",34528.48,34528.48,33741.76,33962.04,33962.04,440440000
"Jul 16, 2021",35007.94,35090.01,34647.82,34687.85,34687.85,322980000
"Jul 15, 2021",34924.81,34990.41,34762.87,34987.02,34987.02,320450000
"Jul 14, 2021",34920.83,35069.18,34826.87,34933.23,34933.23,344340000
"Jul 13, 2021",34959.96,35018.79,34876.89,34888.79,34888.79,322430000
"Jul 12, 2021",34836.75,35014.9,34730.15,34996.18,34996.18,294800000
"Jul 09, 2021",34457.51,34893.72,34457.51,34870.16,34870.16,301750000
"Jul 08, 2021",34569.01,34569.01,34145.59,34421.93,34421.93,335690000
"Jul 07, 2021",34604.17,34708.78,34435.59,34681.79,34681.79,302700000
"Jul 06, 2021",34790.16,34814.2,34358.42,34577.37,34577.37,348430000
"Jul 02, 2021",34642.42,34821.93,34613.49,34786.35,34786.35,301860000
"Jul 01, 2021",34507.32,34640.28,34498.85,34633.53,34633.53,268280000
"Jun 30, 2021",34290.74,34553.16,34245.48,34502.51,34502.51,295560000
"Jun 29, 2021",34338.89,34469.83,34266.83,34292.29,34292.29,282360000
"Jun 28, 2021",34428.1,34449.65,34186.13,34283.27,34283.27,280280000
"Jun 25, 2021",34328.1,34501.02,34314.8,34433.84,34433.84,432550000
"Jun 24, 2021",33933.91,34233.02,33933.91,34196.82,34196.82,275870000
"Jun 23, 2021",33948.54,34009.4,33869.83,33874.24,33874.24,255280000
"Jun 22, 2021",33872.56,34040.7,33751.06,33945.58,33945.58,284130000
"Jun 21, 2021",33312.07,33908.09,33312.07,33876.97,33876.97,317260000
"Jun 18, 2021",33622.7,33622.7,33271.93,33290.08,33290.08,563920000
"Jun 17, 2021",34014.38,34091.79,33626.61,33823.45,33823.45,354690000
"Jun 16, 2021",34308.48,34333.25,33917.11,34033.67,34033.67,347150000
"Jun 15, 2021",34397.1,34420.38,34199.16,34299.33,34299.33,272430000
"Jun 14, 2021",34472.52,34472.52,34211.54,34393.75,34393.75,295530000
"Jun 11, 2021",34499.81,34618.09,34328.65,34479.6,34479.6,260840000
"Jun 10, 2021",34502.51,34737.79,34447.25,34466.24,34466.24,309310000
"Jun 09, 2021",34626.16,34654.67,34439.37,34447.14,34447.14,245100000
"Jun 08, 2021",34645.84,34665.38,34452.94,34599.82,34599.82,289440000
"Jun 07, 2021",34766.2,34820.91,34574.51,34630.24,34630.24,259120000
"Jun 04, 2021",34618.69,34772.12,34618.69,34756.39,34756.39,270050000
"Jun 03, 2021",34550.31,34667.41,34334.41,34577.04,34577.04,297380000
"Jun 02, 2021",34614.62,34706.65,34545.96,34600.38,34600.38,263810000
"Jun 01, 2021",34584.19,34849.32,34542.87,34575.31,34575.31,287700000
"May 28, 2021",34558.5,34631.11,34520.09,34529.45,34529.45,290850000
"May 27, 2021",34432.47,34608.82,34389.24,34464.64,34464.64,520630000
"May 26, 2021",34336.34,34409.59,34271.44,34323.05,34323.05,258780000
"May 25, 2021",34428.66,34511.35,34266.03,34312.46,34312.46,285760000
"May 24, 2021",34253.87,34472.51,34253.87,34393.98,34393.98,251010000
"May 21, 2021",34121.91,34415.48,34121.91,34207.84,34207.84,306360000
"May 20, 2021",33906.3,34233.4,33872.41,34084.15,34084.15,320150000
"May 19, 2021",33945.81,33945.81,33473.8,33896.04,33896.04,348480000
"May 18, 2021",34351.18,34408.99,34044.1,34060.66,34060.66,289590000
"May 17, 2021",34375.29,34383.84,34176.65,34327.79,34327.79,291910000
"May 14, 2021",34050.86,34454.05,34050.86,34382.13,34382.13,303230000
"May 13, 2021",33624.74,34181.77,33623.49,34021.45,34021.45,350820000
"May 12, 2021",34206.4,34207.87,33555.22,33587.66,33587.66,381350000
"May 11, 2021",34572.74,34572.74,34075.31,34269.16,34269.16,413180000
"May 10, 2021",34785.27,35091.56,34741.57,34742.82,34742.82,361620000
"May 07, 2021",34578.27,34811.39,34464.31,34777.76,34777.76,303400000
"May 06, 2021",34245.11,34561.29,34185.06,34548.53,34548.53,315430000
"May 05, 2021",34163.99,34331.2,34039.66,34230.34,34230.34,253180000
"May 04, 2021",34080.2,34147.78,33765.68,34133.03,34133.03,407860000
"May 03, 2021",33904.89,34221.06,33904.89,34113.23,34113.23,289770000
"Apr 30, 2021",33988.75,33988.75,33784.96,33874.85,33874.85,374890000
"Apr 29, 2021",33855.64,34087.21,33744.28,34060.36,34060.36,408450000
"Apr 28, 2021",33860.46,33946.6,33805.56,33820.38,33820.38,335820000
"Apr 27, 2021",33932.13,34043.98,33870.46,33984.93,33984.93,289030000
"Apr 26, 2021",34044.23,34148.94,33941.37,33981.57,33981.57,279300000
"Apr 23, 2021",33804.52,34157.57,33713.29,34043.49,34043.49,346380000
"Apr 22, 2021",34109.88,34126.57,33717.19,33815.9,33815.9,344470000
"Apr 21, 2021",33808.3,34160.34,33773.8,34137.31,34137.31,290300000
"Apr 20, 2021",34034.18,34034.18,33687.01,33821.3,33821.3,350960000
"Apr 19, 2021",34182.38,34182.38,33980.56,34077.63,34077.63,312540000
"Apr 16, 2021",34058.16,34256.75,34058.16,34200.67,34200.67,343760000
"Apr 15, 2021",33788.53,34068.73,33788.53,34035.99,34035.99,319680000
"Apr 14, 2021",33668.95,33911.25,33668.95,33730.89,33730.89,315330000
"Apr 13, 2021",33721.16,33741.64,33545.84,33677.27,33677.27,324480000
"Apr 12, 2021",33775.06,33786.19,33665.54,33745.4,33745.4,327370000
"Apr 09, 2021",33526.19,33810.87,33526.19,33800.6,33800.6,316410000
"Apr 08, 2021",33469.89,33506.8,33342.64,33503.57,33503.57,304040000
"Apr 07, 2021",33444.98,33521.76,33347.96,33446.26,33446.26,273440000
"Apr 06, 2021",33500.02,33544.79,33380.43,33430.24,33430.24,297940000
"Apr 05, 2021",33222.38,33617.95,33222.38,33527.19,33527.19,344270000
"Apr 01, 2021",33054.58,33167.17,32985.35,33153.21,33153.21,311880000
"Mar 31, 2021",33116.04,33173.77,32980.57,32981.55,32981.55,414140000
"Mar 30, 2021",33127.88,33170.93,32988.92,33066.96,33066.96,307510000
"Mar 29, 2021",33087.55,33259.0,32905.13,33171.37,33171.37,351610000
"Mar 26, 2021",32681.07,33098.83,32681.07,33072.88,33072.88,382170000
"Mar 25, 2021",32346.81,32672.69,32071.41,32619.48,32619.48,411990000
"Mar 24, 2021",32470.88,32787.99,32418.15,32420.06,32420.06,399390000
"Mar 23, 2021",32691.5,32753.77,32356.28,32423.15,32423.15,385840000
"Mar 22, 2021",32601.82,32810.35,32512.53,32731.2,32731.2,383500000
"Mar 19, 2021",32858.36,32858.36,32505.07,32627.97,32627.97,811890000
"Mar 18, 2021",32928.16,33227.78,32831.25,32862.3,32862.3,418480000
"Mar 17, 2021",32825.52,33047.58,32782.18,33015.37,33015.37,391200000
"Mar 16, 2021",32966.75,32966.75,32778.23,32825.95,32825.95,386370000
"Mar 15, 2021",32798.84,32973.4,32629.75,32953.46,32953.46,360080000
"Mar 12, 2021",32462.4,32793.32,32462.4,32778.64,32778.64,346400000
"Mar 11, 2021",32354.5,32661.59,32345.7,32485.59,32485.59,400020000
"Mar 10, 2021",31906.96,32389.5,31906.96,32297.02,32297.02,409110000
"Mar 09, 2021",31892.35,32150.32,31822.64,31832.74,31832.74,458690000
"Mar 08, 2021",31512.15,32148.04,31512.15,31802.44,31802.44,496980000
"Mar 05, 2021",31029.18,31580.33,30766.81,31496.3,31496.3,501810000
"Mar 04, 2021",31289.01,31461.97,30547.53,30924.14,30924.14,537850000
"Mar 03, 2021",31352.96,31563.31,31260.14,31270.09,31270.09,409660000
"Mar 02, 2021",31535.37,31623.27,31377.16,31391.52,31391.52,337270000
"Mar 01, 2021",31065.9,31668.34,31065.9,31535.51,31535.51,385670000
"Feb 26, 2021",31401.29,31450.89,30911.37,30932.37,30932.37,532250000
"Feb 25, 2021",31955.94,31984.77,31293.32,31402.01,31402.01,454110000
"Feb 24, 2021",31499.75,32009.64,31421.29,31961.86,31961.86,410150000
"Feb 23, 2021",31501.89,31653.38,31158.76,31537.35,31537.35,460410000
"Feb 22, 2021",31381.12,31653.48,31286.57,31521.69,31521.69,387210000
"Feb 19, 2021",31504.13,31647.53,31469.34,31494.32,31494.32,353070000
"Feb 18, 2021",31558.6,31558.6,31285.32,31493.34,31493.34,325990000
"Feb 17, 2021",31485.61,31643.7,31338.76,31613.02,31613.02,343510000
"Feb 16, 2021",31472.08,31608.63,31443.48,31522.75,31522.75,329210000
